Name,RollNumber,Subject,Trade
Elsie Harris,1,47,Electrical Engineering
Hilton McGlynn,2,91,Mechanical Engineering
Schuyler Leannon,3,41,Electrical Engineering
Jennie Rolfson,4,84,Computer Science
Chase Ondricka,5,82,Civil Engineering
Eugene Nitzsche,6,45,Electrical Engineering
Mustafa Armstrong,7,63,Chemical Engineering
Shanie Swaniawski,8,44,Chemical Engineering
Gust Volkman,9,92,Computer Science
Tess Leffler,10,96,Chemical Engineering
Abdullah Walter,11,88,Chemical Engineering
Vena Kirlin,12,95,Electrical Engineering
Willis Powlowski,13,81,Computer Science
Jovan Schaden,14,93,Civil Engineering
Boyd Zemlak,15,82,Electrical Engineering
Saul Kohler,16,46,Mechanical Engineering
Candice Koch,17,97,Mechanical Engineering
Annamarie O'Reilly,18,96,Electrical Engineering
Gerard Schroeder,19,59,Electrical Engineering
Florence Leannon,20,66,Computer Science
Ben Homenick,21,42,Civil Engineering
Giovanny Schulist,22,87,Mechanical Engineering
Kyla Halvorson,23,61,Chemical Engineering
Terry Towne,24,95,Civil Engineering
Kaleb Cummings,25,99,Civil Engineering
Virgil Lynch,26,80,Computer Science
Odell Schaden,27,69,Civil Engineering
Monte Doyle,28,70,Mechanical Engineering
Logan Franecki,29,96,Chemical Engineering
America Hirthe,30,90,Civil Engineering
Darrick Hamill,31,65,Civil Engineering
Fredrick Jacobi,32,81,Mechanical Engineering
Vladimir Breitenberg,33,52,Electrical Engineering
Royce Larson,34,80,Civil Engineering
Geraldine Mante,35,98,Computer Science
Melody Ebert,36,86,Electrical Engineering
Burnice Weber,37,50,Mechanical Engineering
Tremayne White,38,64,Civil Engineering
Lucienne Roberts,39,87,Electrical Engineering
Jake Baumbach,40,44,Mechanical Engineering
Marion Hackett,41,85,Computer Science
Jon Labadie,42,70,Chemical Engineering
Percival Kris,43,58,Computer Science
Creola Kassulke,44,76,Computer Science
Birdie Lebsack,45,80,Chemical Engineering
Imogene Price,46,67,Civil Engineering
Wanda Langosh,47,90,Chemical Engineering
Nayeli Luettgen,48,77,Computer Science
Bria Blick,49,80,Electrical Engineering
Delilah Simonis,50,69,Mechanical Engineering
Josue Schiller,51,81,Mechanical Engineering
Antonette Boehm,52,50,Mechanical Engineering
Justen Rutherford,53,69,Electrical Engineering
Cecelia Nikolaus,54,65,Chemical Engineering
Hipolito Gutkowski,55,40,Mechanical Engineering
Selmer Berge,56,56,Chemical Engineering
Stephanie Ryan,57,54,Electrical Engineering
Alberto Hudson,58,98,Electrical Engineering
Jazmin Gerlach,59,86,Civil Engineering
Josue O'Conner,60,66,Mechanical Engineering
Rhiannon Schoen,61,93,Chemical Engineering
Mac Boyer,62,65,Mechanical Engineering
Pearline Beer,63,88,Mechanical Engineering
Rhett Olson,64,65,Chemical Engineering
Dewayne Bradtke,65,67,Chemical Engineering
Dominic Bruen,66,96,Computer Science
Makenna Kozey,67,50,Civil Engineering
Moises Hessel,68,73,Chemical Engineering
Aaron Ryan,69,51,Civil Engineering
Johathan Johns,70,91,Civil Engineering
Gaetano Simonis,71,79,Chemical Engineering
Erna Hoeger,72,50,Mechanical Engineering
Madisyn Lowe,73,57,Computer Science
Elisha Labadie,74,66,Mechanical Engineering
Yoshiko Ernser,75,72,Computer Science
Kay Spencer,76,61,Civil Engineering
Linnea Block,77,86,Chemical Engineering
Virginia McGlynn,78,66,Mechanical Engineering
Montana O'Conner,79,73,Computer Science
Walter Bartoletti,80,67,Electrical Engineering
Leonel Turner,81,76,Chemical Engineering
Virgil Rutherford,82,40,Mechanical Engineering
Arden Durgan,83,84,Chemical Engineering
Viola Gleichner,84,91,Mechanical Engineering
Hilda Funk,85,59,Computer Science
Emanuel Boyer,86,53,Electrical Engineering
Murphy Stehr,87,72,Computer Science
Ole Johns,88,76,Civil Engineering
Athena Treutel,89,66,Electrical Engineering
Connie Bailey,90,91,Chemical Engineering
Jakayla McCullough,91,47,Electrical Engineering
Christine McDermott,92,51,Computer Science
Israel Muller,93,86,Computer Science
Kiara Sawayn,94,82,Chemical Engineering
Myrna Kohler,95,86,Computer Science
Vladimir Hammes,96,81,Electrical Engineering
Price Fisher,97,65,Mechanical Engineering
Davonte Lesch,98,88,Electrical Engineering
Woodrow Marquardt,99,93,Chemical Engineering
Maurice Orn,100,95,Electrical Engineering
